age,gender,height,weight,activity,goal,calorie_target
55,female,164.8,63.6,sedentary,gain,2175.41
43,female,160.8,61.6,moderate,gain,2354.85
17,female,157.5,68.2,light,loss,1363.94
43,female,168.1,77.7,light,maintain,2147.9
46,male,174.6,89.2,active,maintain,3188.65
24,female,151.4,60.7,moderate,loss,1289.79
42,female,146.5,57.3,moderate,loss,1223.71
41,male,164.8,59.8,sedentary,loss,1119.5
19,male,196.5,82.6,sedentary,maintain,2488.99
46,male,181.5,90.6,moderate,loss,2593.08
50,male,176.7,66.9,light,loss,1661.28
59,female,160.5,61.6,active,gain,2373.92
58,male,172.8,90.2,light,maintain,2477.99
15,male,185.5,101.5,light,loss,2384.98
23,male,170.6,73.8,light,maintain,2317.29
49,male,180.2,73.6,moderate,gain,2912.0
49,male,171.9,69.2,sedentary,loss,1341.74
49,male,192.5,103.4,active,loss,2929.34
100,female,167.9,67.2,light,loss,800.0
50,female,172.0,63.5,moderate,loss,1516.51
60,female,157.3,72.9,light,maintain,1704.53
57,male,184.5,84.5,moderate,gain,3240.11
51,male,172.2,63.5,sedentary,maintain,1506.63
34,female,162.9,69.4,moderate,maintain,2217.11
53,female,175.1,87.0,light,maintain,2118.84
26,female,153.7,46.0,light,loss,1088.79
35,female,163.6,61.8,sedentary,loss,944.51
31,male,178.9,73.3,moderate,gain,2865.92
41,female,166.2,71.9,sedentary,maintain,1450.45
81,male,170.9,78.4,sedentary,loss,1256.11
15,male,193.8,80.8,sedentary,loss,1794.5
52,male,163.3,46.1,sedentary,maintain,1457.61
15,female,173.7,86.4,moderate,gain,2848.13
31,female,171.7,55.9,sedentary,maintain,1445.85
59,female,177.2,79.2,sedentary,gain,1842.2
41,male,160.7,60.4,light,maintain,1754.78
20,male,167.2,69.1,light,loss,1676.58
27,female,173.9,95.1,light,gain,2773.96
52,male,158.1,94.2,light,loss,1794.43
26,female,149.1,37.0,light,loss,938.38
43,male,170.6,82.7,light,gain,2679.32
40,male,176.7,72.8,moderate,loss,2107.34
28,male,189.3,102.9,sedentary,maintain,2628.99
78,male,173.3,85.0,active,gain,3427.03
51,male,169.5,87.2,sedentary,maintain,2087.09
15,male,177.8,79.9,moderate,loss,2364.9
43,male,179.2,64.2,light,maintain,1973.31
28,female,165.5,77.2,light,gain,2619.15
55,male,173.4,73.8,moderate,maintain,2341.19
25,male,157.4,56.9,moderate,maintain,2434.03
37,female,154.7,52.3,light,gain,2085.45
49,female,173.4,85.7,light,gain,2581.29
55,female,163.5,83.4,sedentary,maintain,1873.25
18,female,159.4,47.3,active,loss,1548.02
33,male,185.1,91.8,moderate,gain,3466.65
31,male,164.8,60.7,light,loss,1761.42
28,female,160.2,44.6,moderate,maintain,1810.51
71,male,176.2,76.6,light,maintain,2251.04
47,female,158.5,50.9,moderate,gain,2442.21
17,male,175.9,52.3,light,maintain,2038.82
56,male,173.3,61.5,light,gain,2613.5
78,male,162.4,51.1,sedentary,loss,849.03
58,male,176.6,65.8,active,loss,2340.15
15,male,163.0,47.9,moderate,gain,2988.33
31,female,163.3,59.3,moderate,maintain,2115.85
62,male,187.4,73.0,light,maintain,2354.85
27,male,172.5,76.4,light,gain,2715.2
47,male,164.5,72.1,light,maintain,2340.04
53,male,173.9,76.1,moderate,maintain,2304.74
23,male,167.5,64.4,active,loss,2290.1
38,female,166.8,63.5,sedentary,maintain,1511.41
15,male,173.7,61.0,moderate,maintain,2671.55
21,female,175.7,62.8,moderate,maintain,2539.06
35,male,185.5,93.4,sedentary,gain,2897.12
17,male,173.6,48.5,light,maintain,2093.8
69,female,167.7,66.5,sedentary,gain,1933.17
15,male,171.5,66.3,moderate,gain,3101.48
32,male,175.3,82.0,active,gain,3454.73
42,female,159.1,44.5,active,maintain,2054.21
65,male,181.9,79.6,moderate,maintain,2638.79
15,female,173.5,76.9,light,loss,1681.12
60,female,168.4,45.4,moderate,loss,1124.66
40,female,169.4,55.0,active,loss,1988.95
22,male,183.3,79.3,moderate,gain,3405.16
48,male,180.0,85.2,light,loss,2087.94
43,female,152.9,58.0,active,gain,2399.58
29,male,190.3,96.1,moderate,maintain,3218.77
41,female,176.4,59.6,active,maintain,2198.29
33,male,172.9,50.4,active,maintain,2364.86
42,female,159.0,61.7,light,loss,1271.36
51,male,180.5,60.2,moderate,gain,2618.79
68,female,166.4,55.7,light,gain,1839.28
17,male,173.2,84.6,sedentary,maintain,2324.0
78,female,152.0,57.4,moderate,gain,1939.75
15,male,177.8,67.8,light,loss,1826.37
37,female,166.4,57.8,sedentary,loss,896.69
50,male,181.5,88.3,active,maintain,2785.98
45,male,178.1,79.2,sedentary,gain,2561.34
28,female,159.8,47.3,active,loss,1495.85
36,male,183.9,54.1,sedentary,maintain,1935.03
31,male,175.6,100.1,light,loss,2041.99
29,male,170.8,54.0,light,gain,2488.35
55,male,173.4,79.3,moderate,gain,2999.61
46,female,148.0,67.5,sedentary,maintain,1430.18
27,male,173.4,74.1,active,gain,3566.63
56,male,181.2,69.9,moderate,loss,1767.54
45,female,164.7,47.7,moderate,maintain,1799.13
54,male,188.7,62.4,sedentary,loss,1452.95
51,female,159.9,65.7,light,loss,1135.93
25,male,179.4,98.2,active,loss,3003.61
29,female,168.3,63.0,sedentary,loss,1179.8
53,male,196.1,82.7,sedentary,gain,2759.85
50,female,163.2,72.2,light,maintain,1830.57
39,female,153.6,49.4,active,loss,1532.44
42,female,168.8,71.9,light,maintain,2213.77
62,male,191.8,89.0,light,maintain,2559.52
29,female,159.4,56.3,moderate,gain,2496.6
49,male,182.6,79.8,active,maintain,2933.07
36,female,171.8,94.3,sedentary,gain,2280.09
36,female,170.1,77.3,sedentary,maintain,1615.62
59,female,163.0,76.8,sedentary,loss,1008.68
54,male,168.7,56.5,sedentary,maintain,1656.16
54,male,174.3,87.9,light,maintain,2309.79
63,female,165.7,73.8,sedentary,maintain,1722.86
40,female,169.3,49.4,light,maintain,1350.66
52,female,164.7,71.7,light,maintain,1826.89
34,female,159.0,54.8,light,gain,2230.22
45,female,166.4,47.2,active,gain,2596.63
37,female,168.9,70.1,sedentary,maintain,1709.77
41,female,165.0,72.0,light,maintain,1953.35
50,female,155.3,59.5,sedentary,maintain,1403.15
25,male,173.4,70.7,light,maintain,2367.12
77,female,169.6,64.7,moderate,gain,2296.92
21,male,162.6,92.7,moderate,loss,2706.47
18,female,145.3,39.4,light,maintain,1503.49
60,male,188.6,99.3,moderate,loss,2442.16
54,male,179.6,77.6,moderate,gain,2875.9
51,female,166.9,56.1,sedentary,loss,903.37
51,male,165.3,65.0,sedentary,gain,2454.33
39,male,181.6,58.5,moderate,maintain,1959.3
23,female,164.2,57.5,active,gain,2796.88
41,female,149.3,53.0,light,gain,2005.87
27,female,173.4,51.2,sedentary,gain,2131.4
57,male,176.4,81.8,active,maintain,2882.66
37,female,158.8,49.6,sedentary,loss,963.74
25,male,171.6,51.4,moderate,gain,2792.65
34,female,145.9,40.7,sedentary,gain,1678.04
47,female,166.7,94.0,sedentary,loss,1496.34
29,male,177.4,50.3,light,maintain,2240.82
25,male,173.3,77.9,moderate,loss,2306.11
44,male,186.5,71.7,sedentary,maintain,2143.13
44,female,150.9,51.1,moderate,loss,1145.64
30,female,157.2,66.0,sedentary,maintain,1612.58
31,female,155.2,63.8,light,maintain,1961.6
44,male,172.5,62.3,light,loss,1600.16
15,male,175.6,55.2,moderate,gain,2897.86
15,male,178.9,85.7,moderate,gain,3461.21
27,male,171.9,78.2,sedentary,maintain,2222.43
36,female,155.0,54.6,sedentary,gain,2058.36
45,male,190.2,94.0,active,gain,3568.62
66,male,196.7,85.1,light,maintain,2474.94
55,female,163.1,54.0,light,loss,1044.11
37,female,155.9,58.4,sedentary,maintain,1448.63
39,male,188.3,93.4,active,gain,4167.58
21,male,162.0,66.6,active,maintain,2677.77
39,male,172.0,77.8,sedentary,maintain,1914.74
34,male,168.7,58.6,light,gain,2384.5
45,male,164.6,84.3,active,loss,2319.72
25,male,172.5,66.8,light,loss,1646.61
49,female,155.1,56.4,light,gain,1926.41
67,female,162.1,47.5,light,loss,809.98
38,female,162.2,60.9,sedentary,loss,966.11
47,female,157.0,65.1,moderate,gain,2287.56
52,male,171.7,80.8,light,maintain,2298.6
32,male,172.9,92.8,light,maintain,2199.01
44,male,182.3,87.5,sedentary,maintain,2053.43
40,male,173.7,76.1,moderate,loss,2045.86
41,female,168.6,62.5,moderate,maintain,2198.54
26,male,180.3,68.3,light,maintain,2276.83
40,male,180.1,92.1,active,loss,2664.81
48,male,187.5,99.4,sedentary,gain,2799.77
66,male,164.9,52.1,moderate,loss,1222.58
57,female,158.2,68.2,light,loss,1239.1
78,male,190.9,98.1,sedentary,loss,1717.86
26,female,159.9,48.6,sedentary,maintain,1514.96
55,male,150.0,59.5,light,gain,2627.69
43,male,173.2,57.8,moderate,maintain,2043.82
79,male,176.2,49.7,moderate,loss,1229.68
25,female,141.1,46.3,moderate,loss,1197.65
24,male,187.0,88.0,sedentary,maintain,2265.58
29,male,168.6,66.7,active,loss,2073.43
15,male,178.0,116.9,light,loss,2489.71
30,female,160.2,66.0,moderate,gain,2480.03
26,female,151.7,56.7,moderate,gain,2687.63
42,male,165.4,70.9,sedentary,gain,2716.55
46,female,154.5,52.6,moderate,gain,1953.04
73,male,184.8,96.2,sedentary,maintain,1890.46
57,male,173.7,77.3,sedentary,gain,2266.75
29,female,157.8,63.3,moderate,maintain,1937.72
23,male,166.6,58.8,sedentary,loss,1251.33
48,male,185.8,58.5,light,maintain,2049.81
16,female,173.7,65.6,sedentary,loss,1260.34
72,female,171.5,74.3,light,loss,1157.85
61,female,165.9,60.6,sedentary,loss,846.69
31,female,164.3,68.3,moderate,gain,2949.48
15,male,164.1,61.8,sedentary,gain,2328.05
64,male,172.8,77.4,moderate,maintain,2317.67
37,male,168.8,55.9,moderate,loss,1539.6
62,male,158.6,62.5,light,loss,1260.87
15,male,184.5,71.9,active,maintain,3317.71
29,male,168.7,48.6,sedentary,maintain,1751.1
40,male,185.8,80.3,sedentary,gain,2771.17
40,male,182.9,103.5,sedentary,loss,1721.11
31,female,166.5,48.3,light,maintain,1518.5
51,male,180.5,80.0,active,gain,3663.5
20,male,169.5,79.2,sedentary,loss,1700.7
37,male,191.7,126.3,moderate,maintain,3471.36
42,male,175.4,67.0,moderate,loss,2034.51
49,male,177.7,66.8,sedentary,loss,1233.29
52,female,156.8,46.1,active,gain,2062.79
19,female,154.6,69.6,active,maintain,2150.43
15,female,165.8,55.3,active,maintain,2392.87
62,male,177.0,69.9,light,maintain,2094.21
45,male,167.9,45.1,sedentary,gain,1961.98
26,male,162.1,73.5,light,loss,1636.49
67,male,163.6,78.2,moderate,loss,2086.16
42,female,171.6,81.8,light,gain,2542.75
61,female,157.1,41.4,moderate,gain,2129.88
41,male,171.9,79.0,moderate,gain,3049.3
77,male,188.1,58.3,sedentary,maintain,1595.5
71,female,153.0,56.8,light,loss,974.6
35,female,156.2,60.8,active,gain,2799.68
57,female,155.8,61.7,sedentary,maintain,1371.57
51,female,174.9,80.8,light,loss,1665.09
64,female,177.9,75.9,sedentary,maintain,1962.25
22,female,168.0,45.2,light,loss,1131.13
52,female,168.3,74.8,light,loss,1441.35
59,male,169.8,70.4,sedentary,loss,1234.26
15,male,192.5,73.9,sedentary,loss,1632.52
18,female,164.1,45.6,light,loss,1112.58
15,male,182.7,103.2,light,loss,2659.6
35,female,161.2,76.7,sedentary,loss,1069.51
52,male,172.6,81.0,moderate,loss,2103.64
67,female,175.3,64.4,light,loss,1140.16
41,male,179.9,51.8,sedentary,loss,1382.64
69,female,173.6,82.7,active,maintain,2379.27
15,male,177.3,80.6,sedentary,maintain,2156.9
15,male,167.4,62.5,sedentary,loss,1577.43
39,female,157.3,71.9,active,loss,1934.98
46,female,162.8,73.7,sedentary,gain,2219.82
39,female,157.0,61.1,active,maintain,2252.71
15,male,165.0,65.8,moderate,gain,2781.84
38,male,185.8,83.7,light,maintain,2622.13
16,male,170.1,78.3,sedentary,loss,1602.57
52,male,176.2,62.6,sedentary,maintain,1811.21
46,female,164.4,70.0,sedentary,maintain,1658.21
23,female,157.3,49.1,active,maintain,1906.53
30,male,188.1,106.1,light,maintain,2995.83
20,female,153.1,61.8,sedentary,gain,2049.73
38,female,164.1,56.3,light,maintain,1553.78
57,female,164.0,65.5,sedentary,loss,970.52
22,female,161.6,52.6,sedentary,loss,1019.41
49,male,163.3,82.1,sedentary,loss,1480.98
30,female,169.0,89.4,moderate,loss,1698.98
25,female,167.9,76.5,sedentary,maintain,1884.66
38,female,156.6,76.0,light,loss,1358.07
21,male,181.4,81.2,sedentary,gain,2868.46
30,female,165.0,74.7,light,maintain,2017.11
18,male,163.5,78.9,light,maintain,2317.02
75,male,167.3,67.1,sedentary,loss,1102.36
40,female,171.1,71.2,light,loss,1487.02
27,female,164.5,76.3,light,gain,2717.87
43,male,169.9,77.7,sedentary,maintain,1832.82
37,male,167.3,57.6,moderate,loss,1693.16
36,male,170.4,46.4,light,gain,2604.86
51,male,171.0,67.9,moderate,loss,1774.99
53,female,155.2,38.6,light,maintain,1311.28
30,male,159.3,49.6,active,gain,2579.31
29,female,171.1,58.8,light,loss,1194.77
35,female,169.8,61.8,sedentary,gain,1957.81
15,male,163.5,74.1,moderate,gain,2972.93
15,female,163.1,76.3,moderate,loss,2034.14
64,male,166.9,73.2,active,gain,3261.63
69,male,172.6,80.0,sedentary,maintain,1598.14
35,male,171.9,79.6,light,gain,2731.01
50,female,158.6,40.2,light,loss,892.44
45,female,178.0,76.2,moderate,gain,2786.81
95,male,171.0,46.8,active,maintain,2034.5
60,female,155.5,63.6,light,maintain,1651.61
37,female,155.9,38.9,moderate,gain,2037.82
22,female,170.4,67.3,light,maintain,1991.34
15,female,148.8,58.6,light,loss,1254.63
43,female,155.9,46.1,light,loss,900.06
26,male,188.0,100.1,sedentary,loss,2090.88
15,female,164.0,70.6,light,maintain,2162.61
28,female,163.5,68.8,sedentary,gain,2260.19
20,male,194.2,102.3,light,maintain,2995.48
70,female,164.0,60.2,light,maintain,1424.66
55,female,156.3,60.3,moderate,gain,2354.02
39,female,159.7,61.4,light,loss,1238.06
66,male,164.8,65.0,light,maintain,2124.28
41,female,172.0,62.1,sedentary,loss,996.99
24,female,166.6,51.1,moderate,loss,1395.84
67,male,185.1,77.1,sedentary,maintain,1704.1
49,male,185.9,76.9,active,loss,2379.37
21,female,158.7,52.1,light,loss,1066.19
36,male,166.5,77.2,sedentary,maintain,2127.69
24,male,174.5,57.0,light,maintain,2288.65
15,male,167.1,64.9,sedentary,maintain,1926.54
56,female,163.3,78.0,sedentary,gain,1980.6
74,female,171.1,82.2,light,maintain,1670.57
15,male,173.5,88.7,light,maintain,2485.57
50,male,176.3,66.4,sedentary,maintain,1904.97
28,male,174.2,83.5,moderate,maintain,2619.35
31,male,182.2,63.8,moderate,loss,2291.98
29,female,156.7,55.9,light,maintain,1870.23
24,male,155.2,55.9,light,loss,1444.08
40,female,165.8,58.8,sedentary,loss,983.14
25,male,183.9,75.7,sedentary,maintain,2057.62
44,female,165.6,59.7,moderate,maintain,2155.81
39,female,156.9,48.2,moderate,maintain,1636.01
35,male,164.8,75.6,light,maintain,2367.7
23,female,166.0,63.8,sedentary,maintain,1682.09
29,female,163.1,66.3,sedentary,gain,2259.14
53,female,161.0,64.1,moderate,loss,1313.12
49,male,191.4,88.8,light,maintain,2477.11
22,female,154.4,58.2,active,loss,1699.0
41,female,176.2,70.2,active,loss,1892.52
53,male,175.3,93.4,moderate,maintain,2981.81
15,male,158.5,68.9,sedentary,loss,1354.55
49,female,160.6,62.1,sedentary,maintain,1403.06
28,female,169.7,63.3,sedentary,gain,2377.5
50,male,171.7,69.2,active,maintain,2836.02
26,male,161.7,67.7,light,gain,2943.11
15,female,160.7,79.4,moderate,maintain,2097.98
15,female,155.1,42.9,active,gain,2540.66
40,male,179.4,86.8,moderate,loss,2296.13
44,male,182.0,96.3,light,maintain,2489.64
23,female,153.5,40.8,sedentary,maintain,1339.93
51,female,156.4,56.7,sedentary,gain,1811.89
15,male,181.8,63.5,light,loss,1860.12
38,female,155.1,62.4,active,loss,2035.16
18,female,153.3,52.6,active,gain,2686.67
28,female,152.6,54.5,sedentary,loss,960.68
40,female,164.8,60.2,light,loss,1319.06
24,male,177.8,86.1,light,maintain,2585.84
33,male,168.8,71.4,light,maintain,2042.14
58,female,162.0,65.7,sedentary,gain,1736.77
29,female,174.2,75.0,light,maintain,2103.87
55,female,154.2,63.2,active,maintain,1962.93
19,female,146.4,48.9,active,loss,1276.75
49,male,179.1,101.5,light,maintain,2902.27
65,female,161.1,47.9,moderate,loss,1057.47
15,female,156.3,39.7,sedentary,loss,952.39
25,male,180.9,52.3,moderate,gain,2427.91
50,male,182.6,53.3,sedentary,loss,1339.04
36,female,144.3,56.3,sedentary,maintain,1303.18
46,male,169.1,75.7,sedentary,gain,2619.6
29,male,195.9,112.9,light,loss,2581.46
41,female,166.7,53.5,moderate,loss,1419.56
37,female,167.4,76.7,active,maintain,2610.98
61,male,185.6,83.5,moderate,loss,2063.76
44,female,162.1,65.1,moderate,gain,2375.99
46,male,182.2,89.0,sedentary,loss,1622.07
32,male,181.5,67.8,light,gain,2492.56
31,male,179.9,115.3,moderate,gain,3669.07
32,female,159.4,76.2,light,gain,2356.05
47,female,163.4,57.7,sedentary,loss,843.55
32,male,169.7,55.0,moderate,loss,1812.39
45,male,175.1,72.4,sedentary,loss,1418.74
77,female,152.7,57.8,sedentary,maintain,1204.13
55,male,167.9,81.2,light,loss,1769.84
34,male,172.5,55.7,sedentary,gain,2226.61
61,female,154.5,60.3,moderate,maintain,1596.55
32,female,158.0,42.7,moderate,maintain,1730.83
15,female,160.7,67.0,sedentary,maintain,1373.3
21,female,165.2,64.2,active,maintain,2411.34
15,male,183.5,110.2,moderate,loss,3031.99
33,female,158.3,42.7,sedentary,loss,867.64
40,female,172.7,90.0,moderate,maintain,2414.68
70,male,183.4,55.0,light,maintain,1566.39
45,male,179.5,58.1,moderate,loss,1467.36
36,male,176.4,51.2,moderate,gain,2852.83
54,female,164.6,68.0,sedentary,gain,1983.01
15,male,185.7,64.5,moderate,loss,2499.99
44,female,171.8,52.9,active,maintain,1899.56
53,male,187.0,87.1,light,loss,1994.37
15,female,162.3,68.6,sedentary,loss,1403.81
60,male,180.0,78.3,sedentary,gain,2471.2
46,female,172.7,69.4,sedentary,gain,1919.05
32,female,157.0,79.5,sedentary,maintain,2084.66
51,male,172.1,73.1,light,gain,2932.16
80,male,175.1,84.7,light,maintain,2093.4
43,female,169.2,70.5,sedentary,maintain,1759.76
44,male,183.2,64.0,moderate,maintain,2575.1
31,female,160.2,67.9,active,loss,1936.14
24,female,149.9,47.3,active,loss,1307.88
